,title,genre,language,awards,metascore,boxoffice,production,imdbrating,imdbvotes,imdbid
574,A Futile and Stupid Gesture,"Biography, Comedy",English,2 nominations.,55,N/A,Netflix,6.8,"12,082",tt5566790
575,Hotel Transylvania 3: Summer Vacation,"Animation, Adventure, Comedy, Family, Fantasy, Horror","English, Spanish, German, Russian",2 wins & 8 nominations.,54,N/A,Columbia Pictures / Sony Pictures Animation,6.3,"50,220",tt5220122
576,The Good Catholic,"Comedy, Drama","English, Latin",4 wins & 5 nominations.,46,N/A,Pigasus Pictures,5.2,841,tt4721404
577,Cristela Alonzo: Lower Classy,Comedy,English,N/A,N/A,N/A,Netflix,6.1,631,tt6550456
578,Mitt,"Documentary, Biography, Family, News",English,N/A,64,N/A,Netflix,6.9,"2,314",tt1757800
579,My Entire High School Sinking Into the Sea,"Animation, Comedy, Drama",English,2 wins & 13 nominations.,72,"$65,250",GKIDS,6.0,855,tt5538568
580,Todd Glass: Act Happy,Comedy,English,N/A,N/A,N/A,Netflix,5.0,321,tt7752142
581,Where's the Money,Comedy,English,N/A,N/A,N/A,Rivers Edge Films,5.1,"1,588",tt5716848
582,Take the 10,Comedy,English,N/A,N/A,N/A,Netflix,4.7,"2,483",tt5792472
583,Mustang Island,Comedy,English,2 wins & 2 nominations.,N/A,N/A,Pepper Island Films,6.1,294,tt6589292
584,Harith Iskander: I Told You So,Comedy,English,N/A,N/A,N/A,Netflix,4.5,133,tt7902184
585,Step Sisters,Comedy,English,N/A,N/A,N/A,Netflix,5.4,"3,647",tt5267472
586,The Open House,"Horror, Thriller",English,N/A,N/A,N/A,Netflix,3.2,"28,042",tt7608028
587,Good Kids,"Comedy, Drama","English, French, Japanese",N/A,N/A,N/A,Depth of Field,6.1,"8,791",tt2170427
588,IO,"Adventure, Drama, Romance, Sci-Fi",English,1 nomination.,40,N/A,N/A,4.7,"28,120",tt3256226
589,Enlighten Us,Documentary,English,N/A,N/A,N/A,N/A,6.2,511,tt5241010
590,Neal Brennan: 3 Mics,Comedy,English,N/A,N/A,N/A,Netflix,7.9,"2,332",tt6438918
592,Deadcon,"Drama, Horror, Mystery, Thriller",English,N/A,N/A,N/A,N/A,2.8,625,tt7262990
593,Get Him to the Greek,"Comedy, Music",English,14 nominations.,65,"$60,923,325",Universal Pictures,6.4,"164,707",tt1226229
594,Jezebel,"Drama, Romance","English, French",Won 2 Oscars. Another 3 wins & 4 nominations.,N/A,N/A,MGM Home Entertainment,7.5,"11,220",tt0030287
595,Skyline,"Action, Sci-Fi, Thriller",English,1 nomination.,26,"$12,000,000",Rogue Pictures/Universal Studios,4.4,"85,067",tt1564585
596,Dallas Buyers Club,"Biography, Drama","English, Japanese",Won 3 Oscars. Another 82 wins & 82 nominations.,84,"$23,750,994",Focus Features,8.0,"418,462",tt0790636
597,Saving Zo,"Crime, Drama, Mystery",English,N/A,N/A,N/A,Blue Fox Entertainment,5.2,"1,090",tt7319822
598,The Brave,Drama,English,3 nominations.,N/A,N/A,N/A,6.3,"8,770",tt0118768
599,Deadly Switch,"Mystery, Thriller",English,N/A,N/A,N/A,N/A,4.5,699,tt8354582
600,Only Mine,"Drama, Thriller",English,N/A,N/A,N/A,N/A,4.6,901,tt9271164
601,Sebastian Maniscalco: Stay Hungry,Comedy,English,N/A,N/A,N/A,N/A,7.1,791,tt9482786
602,A Boy Called Po,"Drama, Fantasy",English,12 wins & 3 nominations.,47,N/A,N/A,6.9,727,tt1401621
603,Face 2 Face,Drama,English,N/A,N/A,N/A,Green Step Productions,6.9,"1,072",tt4835940
605,Max Rose,Drama,English,N/A,38,"$56,365",Paladin,6.3,433,tt1439558
606,Teenage Cocktail,"Drama, Thriller",English,1 win & 1 nomination.,N/A,N/A,N/A,5.8,"4,911",tt1774591
607,Leslie Jones: Time Machine,Comedy,N/A,N/A,N/A,N/A,N/A,5.1,467,tt10795784
608,The Master,Drama,"Filipino, English",Nominated for 3 Oscars. Another 76 wins & 182 nominations.,86,"$15,800,000",The Weinstein Company,7.2,"143,237",tt1560747
609,Camp X-Ray,"Drama, War",English,6 nominations.,54,"$9,837",IFC Films,6.9,"37,811",tt2994190
610,Little Sister,"Comedy, Drama",English,1 win.,74,N/A,Wraith Films,6.3,"3,350",tt5434870
611,The River Thief,"Action, Adventure, Crime",English,N/A,N/A,N/A,Gorilla Poet Productions,5.4,421,tt5664502
612,The Last Face,"Drama, Romance",English,1 nomination.,16,N/A,"Saban Films, Lionsgate",4.8,"4,186",tt3286560
613,13 Sins,"Horror, Thriller",English,3 nominations.,44,N/A,Radius-TWC,6.3,"31,105",tt2059171
614,The Fighter,"Biography, Drama, Sport",English,Won 2 Oscars. Another 72 wins & 123 nominations.,79,"$93,571,803",Paramount Pictures,7.8,"326,889",tt0964517
615,Clinical,"Horror, Thriller",English,N/A,N/A,N/A,Campfire Films,5.1,"5,883",tt5577742
616,Betty White: First Lady of Television,Documentary,English,N/A,N/A,N/A,N/A,7.8,282,tt8780234
617,He's Out There,"Horror, Thriller",English,N/A,N/A,N/A,Octane Entertainment,5.2,"5,907",tt4052050
618,The Polka King,"Biography, Comedy, Drama",English,1 win.,65,N/A,Netflix,5.9,"8,071",tt5539052
619,Tom Segura: Disgraceful,"Documentary, Comedy",English,N/A,N/A,N/A,Netflix,7.6,"2,374",tt7379330
620,The Last Laugh,Drama,N/A,N/A,N/A,N/A,U. F. A.,8.1,"11,657",tt0015064
621,Dayveon,Drama,English,3 wins & 8 nominations.,69,"$2,200",FilmRise,6.3,384,tt6266218
622,Set Up,"Short, Crime",English,N/A,N/A,N/A,N/A,5.3,75,tt2290641
623,Sniper: Special Ops,"Action, Drama, War",English,N/A,N/A,N/A,"Hybrid, LLC",3.2,"2,342",tt5344794
624,Jim Gaffigan: Cinco,Comedy,English,N/A,N/A,N/A,Netflix,7.0,"1,835",tt6090102
625,Bad Grandpa .5,Comedy,English,N/A,N/A,N/A,N/A,6.3,"4,038",tt3766424
626,Dinner for Schmucks,Comedy,English,1 nomination.,56,"$72,980,108",Paramount Studios,5.9,"95,570",tt0427152
628,Fall Girls,Comedy,English,N/A,N/A,N/A,N/A,4.1,29,tt9033386
629,Jeff Dunham: Unhinged in Hollywood,Comedy,English,N/A,N/A,N/A,Universal Pictures,6.6,527,tt5038776
630,Riot,Action,English,N/A,N/A,N/A,N/A,5.1,"2,448",tt4642044
631,Seal Team Six: The Raid on Osama Bin Laden,"Action, Crime, Drama, Thriller","English, Arabic, Pushto",Nominated for 2 Primetime Emmys. Another 2 wins & 1 nomination.,N/A,N/A,Anchor Bay Entertainment,5.7,"9,599",tt2095605
632,Siren,"Drama, Fantasy",English,1 win & 4 nominations.,N/A,na,na,7.0,"9,845",tt5615700
633,A Perfect Ending,"Drama, Romance",English,1 win.,N/A,N/A,Wolfe Video,5.7,"3,644",tt1823059
634,Gone Are The Days,"Drama, Western",English,N/A,N/A,N/A,N/A,5.1,796,tt5503472
635,Hell or High Water,"Action, Crime, Drama, Thriller, Western",English,Nominated for 4 Oscars. Another 48 wins & 165 nominations.,88,"$26,973,524",Film 44,7.6,"190,285",tt2582782
636,Jersey Boys,"Biography, Drama, Music, Musical","English, Italian, French",4 wins & 2 nominations.,54,N/A,Warner Bros. Pictures,6.8,"31,499",tt1742044
637,Kevyn Aucoin: Beauty & the Beast in Me,"Documentary, Biography",English,1 win.,N/A,N/A,Netflix,7.3,145,tt6972670
638,Krystal,"Comedy, Drama",English,N/A,39,N/A,N/A,5.4,"1,096",tt0835802
639,Moshe Kasher: Live in Oakland,Comedy,N/A,N/A,N/A,N/A,N/A,6.8,284,tt2229301
640,Whitney Cummings: Money Shot,"Documentary, Comedy",English,N/A,N/A,N/A,Comedy Central,6.3,736,tt1659261
641,Camp Cool Kids,Family,English,N/A,N/A,N/A,N/A,4.7,295,tt4703182
642,Happy Hunting,"Horror, Western",English,16 wins & 3 nominations.,N/A,N/A,Selective Collective,5.1,"2,207",tt5189770
643,Heartthrob,"Drama, Romance, Thriller",English,1 win.,N/A,N/A,N/A,5.5,"2,064",tt5701718
644,Justin Bieber: Never Say Never,"Documentary, Music",English,2 wins & 7 nominations.,52,"$73,000,942",Paramount Pictures,1.6,"75,014",tt1702443
645,Maddman: The Steve Madden Story,Documentary,English,N/A,N/A,N/A,N/A,6.6,165,tt2987718
647,Monster High: Escape from Skull Shores,Animation,English,N/A,N/A,N/A,N/A,6.9,403,tt2395337
648,Monster High: Friday Night Frights,Animation,English,1 nomination.,N/A,N/A,N/A,6.9,453,tt2650548
649,Monster High: Fright On,Animation,English,N/A,N/A,N/A,Universal Pictures,7.0,314,tt2615666
650,"Monster High: Frights, Camera, Action!",Animation,English,N/A,N/A,N/A,CJ Entertainment America,6.5,494,tt3565904
651,Monster High: Why Do Ghouls Fall in Love?,"Animation, Romance",English,N/A,N/A,N/A,N/A,6.8,512,tt2168938
652,Now More Than Ever: The History of Chicago,"Documentary, Biography, History, Music",English,4 wins.,N/A,N/A,N/A,7.0,510,tt3807496
653,Residente,"Documentary, Music",English,N/A,N/A,N/A,N/A,8.0,340,tt6414866
654,Super Dark Times,"Crime, Drama, Horror, Thriller",English,4 wins & 4 nominations.,75,"$29,759",The Orchard,6.6,"16,046",tt5112578
655,The Vault,"Crime, Horror, Mystery, Thriller",English,N/A,50,"$4,308",FilmRise,4.8,"11,294",tt1785635
656,Hurricane Bianca,"Comedy, Drama","English, Spanish",N/A,N/A,N/A,Cranium Entertainment,5.9,"5,758",tt4007248
659,God Bless the Broken Road,"Drama, Family, Romance",English,N/A,31,N/A,Freestyle Releasing.,5.4,754,tt5702446
660,Seeing Allred,Documentary,English,2 nominations.,68,N/A,Netflix,6.7,886,tt7689924
661,When We First Met,"Comedy, Fantasy, Romance",English,N/A,36,N/A,Netflix,6.4,"38,231",tt5783956
662,High Flying Bird,"Drama, Sport",English,4 nominations.,78,N/A,Netflix,6.2,"6,566",tt8128188
664,Kevin Hart's Guide to Black History,Comedy,English,N/A,N/A,N/A,Netflix,5.4,"1,056",tt6373518
665,ReMastered: The Two Killings of Sam Cooke,"Documentary, Music",English,1 nomination.,N/A,N/A,N/A,7.2,"1,339",tt9046564
666,Lez Bomb,"Comedy, Drama",English,3 wins & 1 nomination.,N/A,N/A,Gravitas Ventures,5.0,834,tt3496790
667,"Michael Bolton's Big, Sexy Valentine's Day Special","Comedy, Music, Musical, Romance",English,1 nomination.,N/A,N/A,Netflix,6.7,"1,712",tt6343706
668,Welcome to Willits,"Horror, Sci-Fi",English,3 wins & 2 nominations.,N/A,N/A,IFC Films,4.1,"1,161",tt3074952
669,Woody Woodpecker,"Animation, Comedy, Family",English,N/A,N/A,N/A,Universal Pictures Home Entertainment,4.1,"3,087",tt2114504
670,Lila,"Animation, Short, Adventure, Fantasy",N/A,1 nomination.,N/A,N/A,N/A,7.6,297,tt3443482
671,"Ray Romano: Right Here, Around the Corner","Documentary, Comedy",English,N/A,N/A,N/A,Netflix,7.2,"1,268",tt8101766
672,Princess Cyd,"Drama, Romance",English,3 wins & 2 nominations.,72,N/A,Wolfe Releasing,6.7,"2,512",tt6053440
673,The Cloverfield Paradox,"Drama, Horror, Mystery, Sci-Fi, Thriller","English, Mandarin, German",1 nomination.,37,N/A,Netflix,5.5,"89,021",tt2548396
674,Thumper,"Crime, Drama, Thriller",English,N/A,N/A,N/A,The Orchard,5.8,"2,546",tt5716380
675,Hannibal Buress: Comedy Camisado,Comedy,English,N/A,N/A,N/A,Netflix,6.6,"1,160",tt5352432
676,The Charnel House,"Horror, Thriller",English,N/A,N/A,"$6,332",Siegal Entertainment,4.4,"1,039",tt4633662
677,French Dirty,"Comedy, Drama",English,4 wins & 1 nomination.,N/A,N/A,Homegrown Pictures,5.2,162,tt3675504
678,Imperial Dreams,Drama,English,10 wins & 6 nominations.,67,N/A,Netflix,6.8,"3,517",tt3331028
679,Billy Graham: An Extraordinary Journey,"Documentary, Biography, History",English,N/A,N/A,N/A,N/A,9.4,14,tt8106744
680,The Rebound,"Comedy, Romance",English,N/A,N/A,"$538,987",Momentum Picutres,6.3,"45,127",tt1205535
681,Big Bear,Comedy,English,1 win & 3 nominations.,N/A,N/A,Blue Fox Entertainment,5.0,"1,156",tt4986754
682,Mike Birbiglia: Thank God for Jokes,Comedy,English,N/A,N/A,N/A,Netflix,7.4,"1,941",tt6608034
683,Marlon Wayans: Woke-ish,"Documentary, Comedy",English,N/A,N/A,N/A,Netflix,6.5,"1,094",tt7655590
684,Ralphie May: Unruly,Comedy,English,N/A,N/A,N/A,Netflix,4.7,334,tt4454406
685,Our Idiot Brother,"Comedy, Drama",English,N/A,60,"$24,600,000",The Weinstein Company,6.4,"82,134",tt1637706
686,People You May Know,"Comedy, Drama, Romance",English,N/A,N/A,N/A,The Orchard,5.6,"1,278",tt5318534
687,The Heyday of the Insensitive Bastards,"Comedy, Drama",English,N/A,N/A,N/A,Elysium Bandini Studios,4.4,"1,556",tt4076926
688,Dolphin Tale 2,"Drama, Family",English,3 nominations.,58,N/A,Warner Bros. Pictures,6.4,"7,916",tt2978462
689,I Don't Feel at Home in This World Anymore.,"Comedy, Crime, Drama, Thriller",English,3 wins & 3 nominations.,75,N/A,Film Science,6.9,"42,435",tt5710514
690,Marvel Super Hero Adventures: Frost Fight!,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",English,1 nomination.,N/A,N/A,N/A,5.1,567,tt5272052
691,Bert Kreischer: The Machine,Comedy,English,N/A,N/A,N/A,N/A,7.7,788,tt6545220
692,Paddleton,"Comedy, Drama",English,1 nomination.,70,N/A,Netflix,7.2,"8,553",tt8041276
693,The Unknown Known,"Documentary, Biography, History, War",English,2 wins & 9 nominations.,69,N/A,Radius-TWC,7.1,"3,694",tt2390962
694,Secrets of Chatsworth,Documentary,English,N/A,N/A,N/A,PBS Home Video,7.4,113,tt6959562
695,Secrets of Henry VIII's Palace: Hampton Court,Documentary,English,N/A,N/A,N/A,N/A,7.4,198,tt6959560
696,Secrets of Highclere Castle,Documentary,English,N/A,N/A,N/A,N/A,8.4,16,tt6959652
697,The Bachelors,"Comedy, Drama",English,3 wins & 1 nomination.,54,N/A,Freestyle Digital Media,6.8,"3,258",tt5253282
698,Trevor Noah: Afraid of the Dark,Comedy,English,N/A,N/A,N/A,Netflix,7.2,"3,945",tt6562866
699,Being Elmo: A Puppeteer's Journey,Documentary,English,8 wins & 8 nominations.,71,"$302,652",Submarine Deluxe,7.6,"6,583",tt1787660
700,All Light Will End,"Horror, Thriller",English,2 wins & 2 nominations.,N/A,N/A,Red Vessel Entertainment,4.0,972,tt6023386
701,Trash Fire,"Comedy, Drama, Horror, Thriller",English,2 wins & 3 nominations.,42,N/A,Circle of Confusion,5.8,"2,739",tt5076792
703,Dismissed,"Drama, Horror, Thriller",English,1 win.,N/A,N/A,BoulderLight Pictures,5.7,"6,039",tt5039994
704,Growing Up Wild,Documentary,English,N/A,N/A,N/A,N/A,7.3,223,tt6332994
705,Abominable Christmas,"Animation, Short, Comedy, Family",English,N/A,N/A,N/A,N/A,5.4,240,tt2445310
706,Dear Dracula,"Animation, Short, Adventure, Family",English,N/A,N/A,N/A,Kickstart Productions,5.2,274,tt2428378
707,Blood Money,"Crime, Drama, Thriller",English,N/A,42,N/A,"Saban Films, Lionsgate",4.4,"1,773",tt3758852
708,Kill Ratio,Action,English,N/A,N/A,N/A,Xlrator Media,4.1,864,tt5020372
709,The Super,"Horror, Mystery, Thriller",English,1 win.,47,N/A,N/A,5.8,"11,732",tt5884784
710,Irreplaceable You,"Comedy, Drama, Romance",English,N/A,34,N/A,Netflix,6.4,"6,971",tt6119856
711,Operator,"Action, Drama, Thriller",English,N/A,N/A,N/A,N/A,4.3,"1,832",tt3849692
714,Never Heard,"Drama, Family",English,2 wins.,N/A,N/A,Webber Films &amp; Riveting Entertainment,5.2,336,tt6529772
716,Aram + Aram = Kinnaram,Comedy,Malayalam,N/A,N/A,N/A,N/A,7.2,255,tt0254968
717,Grass,"Documentary, History",English,1 win.,64,N/A,Unapix,7.2,"3,425",tt0214730
718,"Ken Jeong: You Complete Me, Ho",Comedy,English,N/A,N/A,N/A,Netflix,5.7,"1,752",tt8466562
719,Chris Rock: Tamborine,"Documentary, Comedy",English,N/A,N/A,N/A,Netflix,6.5,"5,231",tt8005338
720,Girlfriend's Day,"Comedy, Drama",English,N/A,N/A,N/A,Netflix,5.2,"3,121",tt2962984
721,Sister Code,"Comedy, Drama, Romance",English,N/A,N/A,N/A,GVN Releasing LLC.,4.5,318,tt3912040
722,We the Animals,Drama,English,9 wins & 22 nominations.,83,N/A,The Orchard,6.9,"3,189",tt7681824
723,Heal,Documentary,English,1 win.,N/A,N/A,Paladin Films,6.9,"1,532",tt5239942
724,Lego DC Comics: Batman Be-Leaguered,"Animation, Short, Action, Adventure, Comedy, Family, Sci-Fi",English,N/A,N/A,N/A,Warner Bros. Animation,6.6,943,tt4189294
725,LEGO Marvel Super Heroes: Black Panther - Trouble in Wakanda,"Animation, Short, Action, Adventure, Comedy, Fantasy, Sci-Fi",English,N/A,N/A,N/A,N/A,5.8,312,tt8205250
726,Malicious,"Horror, Thriller",English,N/A,N/A,N/A,Impossible Dream Entertainment,5.0,"2,855",tt6197494
727,The Witch Files,"Horror, Thriller",English,N/A,N/A,N/A,Cocksure Entertainment,4.4,715,tt4580550
728,Velvet Buzzsaw,"Horror, Mystery, Thriller",English,2 nominations.,61,N/A,N/A,5.7,"48,251",tt7043012
729,42 Grams,"Documentary, Biography, Drama",English,N/A,N/A,N/A,N/A,7.1,283,tt4760186
730,Before the Flood,Documentary,English,2 wins & 7 nominations.,63,N/A,Appian Way Productions,8.3,"24,993",tt5929776
731,National Parks Adventure,"Documentary, Short",English,5 wins & 2 nominations.,N/A,N/A,AIW Enterprises,7.0,699,tt5568164
732,Newness,"Drama, Romance","English, Catalan",N/A,50,N/A,N/A,6.4,"11,334",tt6408226
733,Paint It Black,Drama,English,1 win & 1 nomination.,71,N/A,Tangerine Entertainment,5.6,608,tt1472460
734,Indiscretion,"Crime, Drama, Romance, Thriller",English,N/A,N/A,N/A,N/A,4.9,856,tt3147336
735,The Hurt Business,"Documentary, Sport",English,N/A,N/A,N/A,N/A,6.4,849,tt3993350
736,A Family Reunion Christmas,"Short, Comedy, Family",English,N/A,N/A,N/A,N/A,5.4,100,tt11193888
737,It Comes At Night,"Horror, Mystery",English,1 win & 10 nominations.,78,"$13,985,117",A24,6.2,"76,155",tt4695012
738,Mariah Carey's Merriest Christmas,Music,English,N/A,N/A,N/A,N/A,4.9,162,tt5579910
739,El Camino Christmas,"Comedy, Crime, Western",English,N/A,N/A,N/A,Netflix,5.6,"6,641",tt3255590
740,Kickboxer: Vengeance,"Action, Crime, Drama, Sport",English,N/A,37,N/A,Headmon Entertainment &amp; Productions,4.9,"9,888",tt3082898
741,Other People,"Comedy, Drama",English,3 wins & 11 nominations.,67,"$62,630",Gettin&#39; Rad Productions,6.8,"8,347",tt4158876
742,Dumplin',"Comedy, Drama",English,Nominated for 1 Golden Globe. Another 8 nominations.,53,N/A,N/A,6.6,"24,854",tt4878482
743,The American Meme,Documentary,English,N/A,60,N/A,Netflix,7.5,"12,157",tt8106160
745,Blue Jay,"Drama, Romance",English,1 nomination.,69,"$5,159",Duplass Brothers,7.3,"11,628",tt5912454
746,One in a Billion,Documentary,"English, Punjabi",N/A,N/A,N/A,N/A,6.7,395,tt6045798
747,Reggie Watts: Spatial,"Comedy, Music",English,N/A,N/A,N/A,Netflix,6.1,419,tt5861260
748,Craig Ferguson: Tickle Fight,Comedy,English,N/A,N/A,N/A,Netflix,6.6,824,tt7193448
749,The Good Neighbor,"Crime, Drama, Horror, Thriller",English,N/A,32,N/A,Ball &amp; Chain Productions,6.3,"14,915",tt2262315
750,Bill Burr: I'm Sorry You Feel That Way,Comedy,English,N/A,N/A,N/A,Netflix,8.4,"6,094",tt3823690
751,God's Not Dead: A Light in Darkness,Drama,English,3 nominations.,33,N/A,Pure Flix Entertainment,4.5,"3,020",tt6652708
752,A Very Murray Christmas,"Comedy, Music, Musical",English,Nominated for 2 Primetime Emmys. Another 6 nominations.,N/A,N/A,N/A,5.5,"13,402",tt4537842
753,How High 2,Comedy,English,N/A,N/A,N/A,Quality Control,2.8,617,tt8861802
754,The Bill Murray Stories: Life Lessons Learned from a Mythical Man,Documentary,English,2 nominations.,N/A,N/A,Gravitas Ventures,7.1,"1,717",tt7329810
756,Tom Papa: Live in New York City,Comedy,English,N/A,N/A,N/A,N/A,7.2,230,tt1910649
757,Born Strong,"Documentary, Drama, Sport",English,N/A,N/A,N/A,Triple Threat Television,7.2,"1,325",tt7582508
758,Fun Mom Dinner,Comedy,English,1 win & 1 nomination.,46,N/A,Voltage Pictures,5.2,"4,336",tt5829040
759,Dog Eat Dog,"Action, Thriller",English,1 nomination.,53,N/A,Ingenious Media,4.7,"7,160",tt4054654
760,Anesthesia,"Crime, Drama",English,N/A,55,"$22,386",IFC Films,6.1,"3,992",tt3317208
761,Tiffany Haddish: Black Mitzvah,Comedy,English,N/A,N/A,N/A,N/A,6.2,503,tt8882390
762,Wish Man,Biography,English,1 win.,N/A,N/A,myCinema,7.2,"1,478",tt3246874
763,Silencer,"Action, Drama, Thriller",English,1 win.,N/A,N/A,Status Media &amp; Entertainment,3.8,869,tt5867226
764,Lawless,"Crime, Drama",English,1 win & 8 nominations.,58,"$36,300,000",The Weinstein Company,7.3,"220,087",tt1212450
765,Shelter,"Drama, Romance, Sport",English,11 wins.,66,N/A,Regent Releasing,7.7,"20,243",tt0942384
766,Shrek the Musical,"Comedy, Family, Fantasy, Musical",English,N/A,N/A,N/A,Twentieth Century Fox Home Entertainment,7.1,"2,447",tt3070936
767,Mr. Roosevelt,Comedy,English,5 wins & 4 nominations.,73,N/A,Paladin Films,6.2,"2,278",tt6212496
768,Todd Barry: Spicy Honey,Comedy,English,N/A,N/A,N/A,Netflix,6.8,657,tt6856186
769,Marco Polo: One Hundred Eyes,"Short, Action, Drama, History",English,2 nominations.,N/A,N/A,N/A,7.8,"8,213",tt5235348
770,Doom: Annihilation,"Action, Adventure, Horror, Sci-Fi, Thriller","English, French",N/A,N/A,N/A,N/A,3.6,"5,939",tt8328716
771,Grand-Daddy Day Care,"Comedy, Family",English,N/A,N/A,N/A,Universal 1440 Entertainment,4.8,508,tt8749922
